id,fire_name,fire_started_date,fire_extinguished_date,archive_year,county_id,state,cause_id,cause_description,percent_contained,total_acres_burned,major_incident
68,California Fire,2013-06-18,2013-06-18,2013,48,CA,14,Unidentified,100,124,f
69,152 Fire,2013-06-04,2013-06-05,2013,24,CA,14,Unidentified,100,124,f
70,Smiley Fire,2013-05-25,2013-05-25,2013,33,CA,9,Miscellaneous,100,124,f
71,Cantwell Fire,2013-11-08,2013-11-10,2013,17,CA,2,Equipment Use,100,120,t
72,Union Fire,2013-08-16,2013-08-16,2013,9,CA,14,Unidentified,100,116,t
73,Cleghorn Fire,2013-08-17,2013-08-18,2013,36,CA,14,Unidentified,100,110,f
74,Clinton Fire,2013-06-13,2013-06-13,2013,10,CA,14,Unidentified,100,108,f
75,Freeman Fire,2013-06-29,2013-06-29,2013,27,CA,10,Vehicle,100,105,f
76,Murphy Fire,2013-06-02,2013-06-02,2013,55,CA,9,Miscellaneous,100,100,f
77,Border Fire,2013-05-22,2013-05-23,2013,37,CA,10,Vehicle,100,100,f
78,Davis Creek Complex,2013-09-05,2013-09-24,2013,25,CA,14,Unidentified,100,97,f
79,Little Fire,2013-08-24,2013-08-30,2013,36,CA,14,Unidentified,100,97,f
80,Coyote Fire,2013-08-09,2013-08-12,2013,18,CA,14,Unidentified,100,97,f
81,Roadrunner Fire,2013-06-12,2013-06-13,2013,3,CA,14,Unidentified,100,96,f
82,Creek Fire,2013-09-24,2013-09-24,2013,40,CA,9,Miscellaneous,100,94,f
83,Lilly 2 Fire,2013-05-19,2013-05-20,2013,20,CA,14,Unidentified,100,91,t
84,Adelaida Fire,2013-07-07,2013-07-07,2013,40,CA,14,Unidentified,100,85,f
85,Retek Fire,2013-11-22,2013-11-22,2013,23,CA,14,Unidentified,100,82,f
86,Centerville Fire,2013-08-31,2013-09-01,2013,4,CA,9,Miscellaneous,100,80,t
87,Silverwood Fire,2013-07-25,2013-07-26,2013,36,CA,14,Unidentified,100,75,f
88,Revis Fire,2013-06-12,2013-06-14,2013,20,CA,14,Unidentified,100,75,t
89,Lytle Fire,2013-05-13,2013-05-15,2013,36,CA,14,Unidentified,100,75,t
90,Liveoak Fire,2013-09-11,2013-09-12,2013,36,CA,1,Lightning,100,73,f
91,McGanney Fire,2013-07-08,2013-07-08,2013,58,CA,2,Equipment Use,100,73,f
92,Double Fire,2013-08-16,2013-08-18,2013,17,CA,14,Unidentified,100,70,t
93,Rail Fire,2013-09-07,2013-09-05,2013,25,CA,14,Unidentified,100,68,f
94,Wheeler Fire,2013-11-14,2013-11-15,2013,56,CA,14,Unidentified,100,64,f
95,Tram Fire,2013-08-06,2013-08-08,2013,33,CA,14,Unidentified,100,60,f
96,Relay Fire,2013-08-04,2013-08-04,2013,33,CA,9,Miscellaneous,100,60,f
97,Tyler Fire,2013-08-31,2013-08-31,2013,29,CA,14,Unidentified,100,52,f
98,Toro Fire,2013-11-08,2013-11-09,2013,40,CA,10,Vehicle,100,51,t
99,Bruner Fire,2013-11-23,2013-11-24,2013,17,CA,14,Unidentified,100,50,f
100,Cottonwood Fire,2013-08-15,2013-08-15,2013,47,CA,2,Equipment Use,100,50,f
101,Uvas Fire,2013-07-12,2013-07-12,2013,43,CA,4,Campfire,100,50,f
102,Grant Fire,2013-07-04,2013-07-04,2013,1,CA,8,Playing with fire,100,50,f
103,Homestead Fire,2013-05-25,2013-05-25,2013,40,CA,9,Miscellaneous,100,50,f
104,Bridges Fire,2013-08-17,2013-08-19,2013,5,CA,14,Unidentified,100,46,t
105,Pratt Fire,2013-07-23,2013-07-23,2013,23,CA,14,Unidentified,100,45,f
106,Fiddler Fire,2013-07-09,2013-07-09,2013,45,CA,2,Equipment Use,100,43,f
107,Viper Fire,2013-06-08,2013-06-08,2013,33,CA,14,Unidentified,100,42,f
108,Chestnut Fire,2013-09-07,2013-09-07,2013,41,CA,14,Unidentified,100,41,f
109,Baker Fire,2013-10-06,2013-10-09,2013,30,CA,14,Unidentified,100,40,f
110,Pierce Fire,2013-08-16,2013-08-16,2013,33,CA,14,Unidentified,100,40,f
111,Heacock Fire,2013-07-19,2013-07-20,2013,33,CA,14,Unidentified,100,40,f
112,Palmyrita Fire,2013-06-14,2013-06-15,2013,33,CA,14,Unidentified,100,40,f
113,54 Fire,2013-05-16,2013-05-17,2013,33,CA,14,Unidentified,100,40,t
114,Empire Fire,2013-08-24,2013-08-24,2013,9,CA,14,Unidentified,100,38,f
115,Indian Fire,2013-08-07,2013-08-07,2013,17,CA,14,Unidentified,100,38,f
116,Fallon Fire,2013-07-06,2013-07-06,2013,1,CA,14,Unidentified,100,38,f
117,Michelle Fire,2013-06-13,2013-06-13,2013,10,CA,14,Unidentified,100,35,f
118,Cottontail Fire,2013-05-20,2013-05-20,2013,40,CA,14,Unidentified,100,35,f
119,Dersch Fire,2013-11-07,2013-11-07,2013,45,CA,14,Unidentified,100,33,f
120,Chuckwagon Fire,2013-07-22,2013-07-23,2013,5,CA,14,Unidentified,100,31,f
121,Lakeshore Fire,2013-09-15,2013-09-15,2013,17,CA,14,Unidentified,100,30,t
122,Fawnskin Fire,2013-04-20,2013-04-22,2013,36,CA,14,Unidentified,100,30,f
123,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10,2013-06-14,2013,"49,48,17,6",CA,14,Unidentified,100,28,t
124,Cloverdale Fire,2013-08-14,2013-08-14,2013,45,CA,14,Unidentified,100,27,f
125,Flume Fire,2013-07-28,2013-07-28,2013,37,CA,14,Unidentified,100,25,f
126,Mount Fire,2013-06-20,2013-06-20,2013,17,CA,14,Unidentified,100,25,f
127,Cherry Fire,2013-05-20,2013-05-20,2013,33,CA,14,Unidentified,100,25,f
128,Dam Fire,2013-11-23,2013-11-24,2013,17,CA,14,Unidentified,100,23,f
129,Gilman Fire,2013-07-19,2013-07-19,2013,33,CA,14,Unidentified,100,15,f
130,Orleans Complex,2013-08-03,2013-08-03,2013,12,CA,14,Unidentified,100,0,f
131,Hathaway Fire,2013-06-09,2013-06-09,2013,33,CA,2,Equipment Use,100,0,f
132,King Fire,2014-09-13,2014-10-09,2014,9,CA,14,Unidentified,100,97717,t
133,Bald Fire,2014-07-30,2014-08-15,2014,45,CA,1,Lightning,100,39736,f
134,Oregon Gulch Fire (part of the Beaver Complex),2014-07-30,2014-08-18,2014,47,CA,14,Unidentified,100,35302,f
135,Eiler Fire,2014-07-31,2014-08-25,2014,45,CA,14,Unidentified,100,32416,t
136,Day Fire,2014-07-30,2014-08-13,2014,25,CA,1,Lightning,100,13153,t
137,Bully Fire,2014-07-11,2014-07-26,2014,45,CA,14,Unidentified,100,12661,t
138,Monticello Fire,2014-07-04,2014-07-12,2014,57,CA,14,Unidentified,100,6488,t
139,Coffee Fire,2014-07-30,2014-11-14,2014,45,CA,14,Unidentified,100,6258,f
140,Little Deer Fire,2014-07-31,2014-08-18,2014,47,CA,14,Unidentified,100,5503,f
141,Tomahawk Fire,2014-05-14,2014-05-19,2014,37,CA,14,Unidentified,100,5367,t
142,Butts Fire,2014-07-01,2014-07-09,2014,"28,17",CA,9,Miscellaneous,100,4300,t
143,Sand Fire,2014-07-25,2014-08-02,2014,"3,9",CA,14,Unidentified,100,4240,t
144,Way Fire,2014-08-18,2014-08-27,2014,15,CA,14,Unidentified,100,4045,f
145,Etiwanda Fire,2014-04-30,2014-05-05,2014,36,CA,14,Unidentified,100,2143,t
146,Cocos Fire,2014-05-14,2014-05-22,2014,37,CA,14,Unidentified,100,1995,t
147,Colby Fire,2014-01-16,2014-01-27,2014,19,CA,14,Unidentified,100,1952,f
148,Nicolls Fire ,2014-07-11,2014-07-21,2014,15,CA,14,Unidentified,100,1680,f
149,Modoc Lightning Complex,2014-07-01,2014-07-03,2014,25,CA,14,Unidentified,100,1651,f
150,Bernardo Fire,2014-05-13,2014-05-17,2014,37,CA,14,Unidentified,100,1548,t
151,Gulch Fire,2014-07-03,2014-07-07,2014,25,CA,14,Unidentified,100,1469,t
152,San Mateo Fire,2014-05-16,2014-05-20,2014,37,CA,14,Unidentified,100,1457,f
153,Campbell Fire,2014-01-02,2014-01-10,2014,52,CA,4,Campfire,100,865,f
154,Miguelito Fire,2014-05-13,2014-05-19,2014,42,CA,11,Powerline,100,632,t
155,Junction Fire,2014-08-18,2014-08-25,2014,20,CA,14,Unidentified,100,612,t
156,Poinsettia Fire,2014-05-14,2014-05-17,2014,37,CA,14,Unidentified,100,600,f
157,Oregon Fire,2014-08-24,2014-08-28,2014,53,CA,14,Unidentified,100,580,t
158,Boles Fire,2014-09-15,2014-10-11,2014,47,CA,14,Unidentified,100,516,t
159,59 Fire,2014-06-04,2014-06-05,2014,55,CA,10,Vehicle,100,487,f
160,Encinal Fire,2014-03-19,2014-03-21,2014,27,CA,14,Unidentified,100,400,t
161,Highway Fire,2014-05-14,2014-05-15,2014,37,CA,14,Unidentified,100,380,t
162,Red Fire,2014-01-04,2014-01-08,2014,12,CA,5,Debris,100,333,f
163,Courtney Fire,2014-09-14,2014-09-22,2014,20,CA,5,Debris,100,320,t
164,Dog Rock Fire,2014-10-07,2014-10-12,2014,22,CA,14,Unidentified,100,311,f
165,Tecolote Fire,2014-08-17,2014-12-12,2014,19,CA,14,Unidentified,100,274,f
166,Hetch Hetchy Fire,2014-06-05,2014-06-06,2014,55,CA,14,Unidentified,100,269,f
167,Dog Bar Fire,2014-09-13,2014-09-18,2014,29,CA,14,Unidentified,100,247,t
168,Banner Fire,2014-07-03,2014-07-06,2014,37,CA,14,Unidentified,100,217,t
169,Bald Hill 3 Fire,2014-09-12,2014-09-15,2014,12,CA,14,Unidentified,100,210,f
170,Shoemaker Fire,2014-08-14,2014-12-12,2014,19,CA,14,Unidentified,100,190,f
171,Dry Fire,2014-07-09,2014-07-10,2014,45,CA,14,Unidentified,100,143,f
172,Haigh Fire,2014-06-10,2014-06-13,2014,22,CA,14,Unidentified,100,130,t
173,Gun Fire,2014-03-08,2014-03-11,2014,37,CA,14,Unidentified,100,125,f
174,Irene Fire,2014-09-14,2014-09-17,2014,9,CA,14,Unidentified,100,94,f
175,Oak Fire,2014-06-22,2014-06-24,2014,5,CA,14,Unidentified,100,85,t
176,Boca Fire,2014-08-18,2014-08-19,2014,29,CA,14,Unidentified,100,84,f
177,Marsh Fire,2014-07-11,2014-07-12,2014,7,CA,14,Unidentified,100,80,t
178,Cassel Fire,2014-07-05,2014-07-08,2014,45,CA,9,Miscellaneous,100,75,t
179,San Lucas Fire,2014-04-30,2014-05-01,2014,27,CA,14,Unidentified,100,75,f
180,Wildlife Fire,2014-07-14,2014-07-16,2014,4,CA,1,Lightning,100,72,f
181,Jackson Fire,2014-09-04,2014-09-05,2014,55,CA,14,Unidentified,100,70,f
182,Van Buren Fire,2014-03-28,2014-03-29,2014,33,CA,14,Unidentified,100,57,f
183,Bane Fire,2014-10-16,2014-10-17,2014,36,CA,14,Unidentified,100,48,f
184,Interlake Fire,2014-07-07,2014-07-08,2014,",40",CA,14,Unidentified,100,47,f
185,Hutto Fire,2014-07-07,2014-07-08,2014,29,CA,14,Unidentified,100,38,f
186,Bible Fire,2014-07-09,2014-07-09,2014,9,CA,14,Unidentified,100,30,f
187,Jacumba Fire,2014-05-05,2014-05-06,2014,37,CA,10,Vehicle,100,29,f
188,Stage Coach Fire,2014-09-11,2014-09-15,2014,28,CA,14,Unidentified,100,27,f
189,Leopard Fire,2014-08-29,2014-08-29,2014,45,CA,14,Unidentified,100,25,f
190,Hall Fire,2014-06-11,2014-06-09,2014,10,CA,14,Unidentified,100,25,f
191,Cascade Fire,2014-09-25,2014-09-25,2014,9,CA,14,Unidentified,100,20,f
192,West Fire,2014-07-01,2014-07-03,2014,53,CA,14,Unidentified,100,15,f
193,Pines Fire,2014-08-26,2014-12-12,2014,20,CA,14,Unidentified,100,10,f
194,Happy Camp Complex,2014-08-11,2014-08-14,2014,47,CA,1,Lightning,100,0,f
195,Rough Fire ,2015-07-31,2015-11-09,2015,10,CA,14,Unidentified,100,151623,f
196,Rocky Fire,2015-07-29,2015-08-14,2015,17,CA,9,Miscellaneous,100,69438,t
197,Jerusalem Fire,2015-08-09,2015-08-25,2015,"17,28",CA,14,Unidentified,100,25118,t
198,Dodge Fire,2015-08-03,2015-08-04,2015,18,CA,14,Unidentified,100,10570,f
199,Cabin Fire,2015-07-19,2015-09-05,2015,54,CA,14,Unidentified,100,6980,f
200,Willow Fire,2015-07-25,2015-08-13,2015,20,CA,14,Unidentified,100,5702,f
201,Frog Fire,2015-07-30,2015-07-31,2015,25,CA,1,Lightning,100,4863,f
202,North Fire,2015-07-17,2015-07-21,2015,36,CA,14,Unidentified,100,4250,t
203,Tesla Fire,2015-08-19,2015-08-22,2015,1,CA,14,Unidentified,100,2700,t
204,Cuesta Fire,2015-08-16,2015-08-28,2015,40,CA,10,Vehicle,100,2446,t
205,Lowell Fire,2015-07-25,2015-08-12,2015,29,CA,14,Unidentified,100,2304,t
206,Saddle Fire ,2015-06-10,2015-06-29,2015,53,CA,14,Unidentified,100,1542,f
207,Lumpkin Fire,2015-09-11,2015-09-17,2015,4,CA,14,Unidentified,100,1042,t
208,Corrine Fire,2015-06-18,2015-06-25,2015,20,CA,14,Unidentified,100,920,t
209,Elk Fire,2015-09-02,2015-09-08,2015,17,CA,2,Equipment Use,100,673,t
210,Cienega Fire,2015-10-12,2015-10-16,2015,35,CA,11,Powerline,100,670,t
211,Anza Fire,2015-08-10,2015-08-15,2015,33,CA,10,Vehicle,100,543,f
212,Triple Fire,2015-07-21,2015-07-26,2015,54,CA,14,Unidentified,100,430,t
213,Calgrove Fire ,2015-06-24,2015-06-26,2015,19,CA,14,Unidentified,100,415,f
214,Forebay Fire,2015-05-11,2015-05-11,2015,24,CA,14,Unidentified,100,275,f
215,Peterson Fire,2015-08-22,2015-08-27,2015,17,CA,2,Equipment Use,100,215,t
216,241 Fire,2015-07-13,2015-07-15,2015,30,CA,14,Unidentified,100,214,f
217,China Fire,2015-07-29,2015-08-01,2015,45,CA,14,Unidentified,100,212,t
218,Big Creek Fire,2015-07-29,2015-08-04,2015,55,CA,14,Unidentified,100,204,t
219,Pines Fire ,2015-07-17,2015-08-04,2015,19,CA,14,Unidentified,100,200,f
220,Stephens Fire,2015-02-24,2015-03-02,2015,47,CA,14,Unidentified,100,200,f
221,Cooley Fire,2015-07-13,2015-07-14,2015,47,CA,2,Equipment Use,100,181,f
222,Wildcat Fire,2015-06-17,2015-06-19,2015,37,CA,14,Unidentified,100,171,f
223,Cutca Fire,2015-07-24,2015-07-26,2015,37,CA,14,Unidentified,100,167,f
224,Queen Fire,2015-07-24,2015-08-01,2015,12,CA,14,Unidentified,100,158,t
225,Cook Fire,2015-06-18,2015-06-22,2015,58,CA,14,Unidentified,100,158,t
226,Horse Fire,2015-08-18,2015-08-29,2015,12,CA,14,Unidentified,100,146,t
227,Ward Fire,2015-04-13,2015-04-18,2015,32,CA,14,Unidentified,100,137,f
228,Democrat Fire,2015-08-25,2015-08-29,2015,53,CA,14,Unidentified,100,128,t
229,3-11 Fire,2015-07-23,2015-07-26,2015,25,CA,14,Unidentified,100,116,f
230,Mark Fire,2015-08-13,2015-08-18,2015,5,CA,14,Unidentified,100,114,t
231,Tulloch Fire,2015-08-15,2015-08-16,2015,55,CA,14,Unidentified,100,112,f
232,36 Fire,2015-08-08,2015-08-09,2015,52,CA,14,Unidentified,100,110,t
233,Munjar Fire,2015-10-02,2015-10-02,2015,4,CA,14,Unidentified,100,104,f
234,Sterling Fire,2015-06-25,2015-06-29,2015,36,CA,14,Unidentified,100,100,f
235,Laureles Fire,2015-09-19,2015-09-21,2015,27,CA,10,Vehicle,100,95,f
236,Sprig Fire,2015-07-30,2015-07-31,2015,45,CA,1,Lightning,100,90,f
237,Advance Fire,2015-07-30,2015-08-05,2015,54,CA,1,Lightning,100,86,t
238,Otay Fire,2015-06-26,2015-06-26,2015,37,CA,14,Unidentified,100,80,f
239,3-12 Fire,2015-07-23,2015-07-25,2015,25,CA,14,Unidentified,100,77,f
240,Fern Fire,2015-08-02,2015-08-04,2015,45,CA,14,Unidentified,100,75,t
241,Mallard Fire,2015-07-29,2015-07-31,2015,45,CA,14,Unidentified,100,75,t
242,Pass Fire,2015-06-15,2015-06-15,2015,15,CA,14,Unidentified,100,67,f
243,Dixie Fire,2015-06-19,2015-06-20,2015,18,CA,14,Unidentified,100,60,f
244,Point Fire,2015-08-03,2015-08-04,2015,45,CA,14,Unidentified,100,59,t
245,De Luz Fire,2015-08-09,2015-08-10,2015,37,CA,14,Unidentified,100,55,f
246,Fork Fire,2015-06-17,2015-06-17,2015,52,CA,9,Miscellaneous,100,55,f
247,Mill 2 Fire,2015-07-12,2015-07-21,2015,36,CA,14,Unidentified,100,54,t
248,Potrero Fire,2015-11-07,2015-11-07,2015,56,CA,5,Debris,100,50,f
249,Mendocino Lightning Fires,2015-07-30,2015-08-03,2015,23,CA,14,Unidentified,100,50,f
250,Center Fire,2015-09-09,2015-09-10,2015,18,CA,1,Lightning,100,40,f
251,Sullivan Fire,2015-07-28,2015-07-28,2015,50,CA,14,Unidentified,100,40,f
