id,fire_name,fire_started_date,fire_extinguished_date,archive_year,county_id,state,cause_id,cause_description,percent_contained,total_acres_burned,major_incident
297,Roblar Fire,2016-07-21,2016-07-30,2016,37,CA,14,Unidentified,100,1245,f
298,Sage Fire,2016-07-09,2016-07-16,2016,19,CA,4,Campfire,100,1109,f
299,Marshes Fire,2016-09-26,2016-10-04,2016,55,CA,14,Unidentified,100,1080,t
300,Saddle Fire,2016-09-05,2016-09-12,2016,4,CA,14,Unidentified,100,850,t
301,Marina Fire,2016-06-25,2016-07-09,2016,26,CA,14,Unidentified,100,650,f
302,Tully Fire,2016-08-22,2016-09-04,2016,12,CA,7,Arson,100,599,t
303,Fort Fire,2016-07-08,2016-07-10,2016,15,CA,14,Unidentified,100,554,f
304,99 Fire,2016-08-02,2016-08-03,2016,4,CA,14,Unidentified,100,550,f
305,Range Fire,2016-08-26,2016-08-29,2016,15,CA,14,Unidentified,100,518,f
306,Colyear Fire,2016-06-30,2016-07-04,2016,52,CA,14,Unidentified,100,464,t
307,Beale Fire,2016-08-18,2016-08-18,2016,58,CA,14,Unidentified,100,400,f
308,Tule Fire,2016-08-22,2016-11-08,2016,54,CA,14,Unidentified,100,395,f
309,Howard Fire,2016-09-11,2016-09-14,2016,25,CA,14,Unidentified,100,380,f
310,Hog Fire,2016-09-13,2016-09-13,2016,52,CA,15,Structure,100,360,t
311,Appaloosa Fire,2016-07-02,2016-07-08,2016,5,CA,14,Unidentified,100,310,f
312,Havilah Fire,2016-08-28,2016-08-28,2016,15,CA,7,Arson,100,304,f
313,DeWolf Fire,2016-05-25,2016-05-25,2016,10,CA,14,Unidentified,100,278,f
314,Tobin Fire,2016-09-26,2016-10-06,2016,32,CA,14,Unidentified,100,248,f
315,Onyx Fire,2016-07-13,2016-07-14,2016,15,CA,14,Unidentified,100,221,f
316,Reservoir Fire,2016-06-26,2016-06-28,2016,17,CA,14,Unidentified,100,215,t
317,Camanche Fire,2016-06-17,2016-06-21,2016,3,CA,14,Unidentified,100,210,t
318,Big Fire,2016-07-11,2016-07-13,2016,10,CA,14,Unidentified,100,188,f
319,Emerald Fire,2016-10-14,2016-10-17,2016,9,CA,14,Unidentified,100,176,t
320,Athens Fire,2016-05-17,2016-05-19,2016,31,CA,14,Unidentified,100,169,f
321,Sunny Fire,2016-09-03,2016-09-06,2016,10,CA,10,Vehicle,100,158,t
322,Wheatland Fire,2016-05-23,2016-05-25,2016,19,CA,2,Equipment Use,100,156,f
323,Old Fire,2016-09-13,2016-09-17,2016,8,CA,14,Unidentified,100,150,f
324,Holy Fire,2016-08-31,2016-09-05,2016,30,CA,14,Unidentified,100,150,f
325,Shedd Fire,2016-05-10,2016-05-10,2016,40,CA,14,Unidentified,100,150,f
326,Bird Fire,2016-08-20,2016-08-20,2016,39,CA,14,Unidentified,100,147,f
327,Frame Fire,2016-07-04,2016-07-07,2016,10,CA,7,Arson,100,145,f
328,Temecula Fire,2016-06-04,2016-06-07,2016,33,CA,14,Unidentified,100,139,t
329,Famoso Fire,2016-07-15,2016-07-16,2016,15,CA,14,Unidentified,100,138,f
330,Avocado Fire,2016-05-15,2016-05-17,2016,10,CA,14,Unidentified,100,132,f
331,Bangor Fire,2016-09-22,2016-09-23,2016,4,CA,14,Unidentified,100,130,f
332,Green Fire,2016-07-15,2016-07-16,2016,10,CA,14,Unidentified,100,123,t
333,Coe Fire,2016-06-07,2016-06-09,2016,50,CA,14,Unidentified,100,120,f
334,Coal Fire,2016-06-20,2016-06-20,2016,4,CA,14,Unidentified,100,112,f
335,Broken Fire,2016-07-04,2016-07-06,2016,20,CA,14,Unidentified,100,103,f
336,Cow Fire,2016-09-25,2016-09-25,2016,45,CA,14,Unidentified,100,100,f
337,Hart Fire,2016-08-04,2016-08-07,2016,15,CA,14,Unidentified,100,100,f
338,Bradley Fire,2016-07-22,2016-07-23,2016,27,CA,14,Unidentified,100,100,f
339,Feather Fire,2016-07-18,2016-07-20,2016,37,CA,2,Equipment Use,100,100,f
340,Dunstone Fire,2016-05-27,2016-05-27,2016,4,CA,5,Debris,100,91,f
341,Santos Fire,2016-08-26,2016-08-30,2016,4,CA,14,Unidentified,100,88,t
342,Flores Fire,2016-07-01,2016-07-01,2016,52,CA,10,Vehicle,100,88,f
343,Moore Fire,2016-06-21,2016-06-21,2016,31,CA,2,Equipment Use,100,88,f
344,Scott Fire,2016-07-10,2016-07-11,2016,34,CA,14,Unidentified,100,87,f
345,Frazier Fire,2016-06-27,2016-06-29,2016,40,CA,14,Unidentified,100,86,f
346,Grub Fire,2016-08-04,2016-08-06,2016,20,CA,14,Unidentified,100,85,f
347,Dunnigan Fire,2016-07-15,2016-07-15,2016,57,CA,9,Miscellaneous,100,84,f
348,Hoag Fire,2016-06-11,2016-06-11,2016,52,CA,14,Unidentified,100,80,f
349,Sherwood Fire,2016-07-13,2016-07-15,2016,56,CA,15,Structure,100,78,f
350,Newmark Fire,2016-09-23,2016-09-24,2016,10,CA,14,Unidentified,100,70,f
351,Arroyo Fire,2016-06-18,2016-06-20,2016,27,CA,10,Vehicle,100,70,f
352,Pala Fire,2016-05-31,2016-06-07,2016,37,CA,14,Unidentified,100,70,t
353,Foothill Fire,2016-07-19,2016-07-22,2016,17,CA,14,Unidentified,100,69,t
354,Cotton Fire,2016-06-11,2016-06-12,2016,15,CA,14,Unidentified,100,61,f
355,Lowe Fire,2016-06-23,2016-06-24,2016,27,CA,9,Miscellaneous,100,52,f
356,Ruff Fire ,2016-09-10,2016-09-15,2016,23,CA,14,Unidentified,100,50,f
357,Spring Fire,2016-09-07,2016-09-09,2016,36,CA,14,Unidentified,100,50,f
358,Storksbill Fire,2016-07-22,2016-07-23,2016,9,CA,14,Unidentified,100,50,t
359,70 Fire,2016-06-21,2016-06-21,2016,4,CA,2,Equipment Use,100,49,f
360,Auburn Fire,2016-09-17,2016-09-20,2016,29,CA,14,Unidentified,100,47,f
361,Laguna Fire,2016-06-26,2016-06-29,2016,30,CA,14,Unidentified,100,47,f
362,Bell Fire,2016-09-23,2016-09-25,2016,3,CA,14,Unidentified,100,45,t
363,Kugelman Fire,2016-08-09,2016-08-10,2016,17,CA,14,Unidentified,100,45,f
364,Kuehner Fire,2016-07-01,2016-07-01,2016,56,CA,10,Vehicle,100,45,f
365,Boys Fire,2016-09-11,2016-09-12,2016,34,CA,14,Unidentified,100,40,f
366,Franklin Fire,2016-07-24,2016-07-24,2016,7,CA,14,Unidentified,100,40,f
367,Phoenix Fire,2016-09-07,1969-12-31,2016,29,CA,14,Unidentified,100,38,f
368,Mina Fire,2016-08-30,2016-08-31,2016,23,CA,14,Unidentified,100,36,f
369,Knoxville Fire,2016-08-09,2016-08-10,2016,17,CA,14,Unidentified,100,36,f
370,Gopher Fire,2016-08-10,2016-08-11,2016,37,CA,9,Miscellaneous,100,35,f
371,Stagecoach Fire,2016-07-12,2016-07-13,2016,5,CA,14,Unidentified,100,35,f
372,Campo Fire,2016-06-27,2016-06-30,2016,5,CA,14,Unidentified,100,33,f
373,Moffett Fire,2016-09-12,2016-09-13,2016,47,CA,8,Playing with fire,100,32,f
374,Frymire Fire,2016-07-30,2016-08-01,2016,55,CA,2,Equipment Use,100,32,f
375,Clay Fire,2016-06-03,2016-06-03,2016,34,CA,2,Equipment Use,100,32,f
376,Lone Pine Fire,2016-07-01,2016-07-02,2016,14,CA,14,Unidentified,100,30,f
377,Hidden Fire,2016-06-03,2016-06-03,2016,35,CA,2,Equipment Use,100,30,f
378,Taglio Fire,2016-04-24,2016-04-24,2016,24,CA,14,Unidentified,100,30,f
379,Rock Fire,2016-07-22,2016-07-24,2016,37,CA,10,Vehicle,100,28,t
380,Aukum Fire,2016-06-03,2016-06-04,2016,9,CA,10,Vehicle,100,25,t
381,Bryson Fire,2016-05-12,2016-05-12,2016,27,CA,14,Unidentified,100,25,f
382,Stafford Fire,2016-08-11,2016-08-16,2016,12,CA,14,Unidentified,100,23,f
383,Table Fire,2016-07-21,2016-07-22,2016,47,CA,14,Unidentified,100,23,f
384,Ken Fire,2016-09-03,2016-09-04,2016,36,CA,9,Miscellaneous,100,20,f
385,Mockingbird Fire,2016-08-30,2016-08-31,2016,17,CA,14,Unidentified,100,20,f
386,Shelter Fire,2016-07-11,2016-07-12,2016,56,CA,14,Unidentified,100,15,f
387,Jacobson Fire,2016-10-20,2016-12-19,2016,54,CA,14,Unidentified,100,10,f
388,Mokelumne Fire,2016-08-18,2016-08-30,2016,2,CA,14,Unidentified,100,0,f
389,Gorman Fire,2016-04-19,2016-04-19,2016,19,CA,14,Unidentified,100,0,f
390,Thomas Fire,2017-12-04,2019-03-14,2017,"42,56",CA,14,Unidentified,100,281893,t
391,Long Valley Fire,2017-07-11,2018-01-09,2017,18,CA,14,Unidentified,100,83733,f
392,Detwiler Fire,2017-07-16,2018-01-09,2017,22,CA,14,Unidentified,100,81826,t
393,Eclipse Complex,2017-08-15,2018-01-09,2017,47,CA,14,Unidentified,100,78698,f
394,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),2017-10-08,2018-02-09,2017,"28,49",CA,14,Unidentified,100,56556,t
395,Atlas Fire (Southern LNU Complex),2017-10-08,2018-02-09,2017,"28,48",CA,14,Unidentified,100,51624,t
396,Garza Fire,2017-07-09,2018-01-09,2017,16,CA,14,Unidentified,100,48889,t
397,Miller Complex,2017-08-14,2018-01-09,2017,47,CA,14,Unidentified,100,39715,f
398,Tubbs Fire (Central LNU Complex),2017-10-08,2018-02-09,2017,"28,49",CA,14,Unidentified,100,36807,t
399,Pier Fire,2017-08-29,2018-01-09,2017,54,CA,14,Unidentified,100,36556,t
400,Redwood Valley Fire (Mendocino Lake Complex),2017-10-08,2018-02-09,2017,23,CA,14,Unidentified,100,36523,t
401,Alamo Fire,2017-07-06,2018-01-09,2017,40,CA,14,Unidentified,100,28687,t
402,Helena - Fork Fire,2017-08-30,2018-01-09,2017,53,CA,14,Unidentified,100,21846,f
403,Lion Fire,2017-09-27,2018-01-09,2017,54,CA,14,Unidentified,100,18900,f
404,R-4 Fire,2017-08-30,2018-01-09,2017,18,CA,14,Unidentified,100,18618,f
405,Whittier Fire,2017-07-08,2018-01-09,2017,42,CA,14,Unidentified,100,18430,f
406,Pocket Fire (Central LNU Complex),2017-10-09,2018-02-09,2017,49,CA,14,Unidentified,100,17357,t
407,Railroad Fire,2017-08-29,2018-01-09,2017,20,CA,14,Unidentified,100,12407,f
408,Elm Fire,2017-05-18,2018-01-09,2017,10,CA,14,Unidentified,100,10343,t
409,Cascade Fire (Wind Complex),2017-10-08,2018-02-09,2017,58,CA,14,Unidentified,100,9989,t
410,Canyon 2 Fire,2017-10-09,2018-04-05,2017,30,CA,14,Unidentified,100,9217,t
411,Slinkard Fire,2017-08-29,2018-01-09,2017,26,CA,14,Unidentified,100,8925,f
412,Cherokee Fire,2017-10-08,2018-02-09,2017,4,CA,14,Unidentified,100,8417,t
413,Parker 2 Fire,2017-08-03,2018-01-09,2017,25,CA,14,Unidentified,100,7697,f
414,La Tuna Fire ,2017-09-01,2018-01-09,2017,19,CA,14,Unidentified,100,7194,f
415,South Fork Fire,2017-08-14,2018-01-09,2017,22,CA,14,Unidentified,100,7000,f
416,Manzanita Fire,2017-06-26,2018-01-09,2017,33,CA,14,Unidentified,100,6309,f
417,LaPorte Fire (Wind Complex),2017-10-09,2018-02-09,2017,4,CA,14,Unidentified,100,6151,t
418,Rye Fire,2017-12-05,2018-01-18,2017,19,CA,14,Unidentified,100,6049,t
419,Mud Fire,2017-08-29,2018-01-09,2017,18,CA,14,Unidentified,100,6042,f
420,Wall Fire,2017-07-07,2018-01-09,2017,4,CA,14,Unidentified,100,6033,t
421,Jayne Fire,2017-04-20,2018-01-09,2017,10,CA,14,Unidentified,100,5738,t
422,Summit Complex,2017-07-31,2018-01-09,2017,50,CA,14,Unidentified,100,5247,f
423,Ruth Complex,2017-08-07,2018-01-09,2017,53,CA,14,Unidentified,100,4736,f
424,Minerva Fire,2017-07-29,2018-01-09,2017,32,CA,14,Unidentified,100,4310,f
425,Lilac Fire,2017-12-07,2018-01-09,2017,37,CA,14,Unidentified,100,4100,t
426,Ponderosa Fire,2017-08-29,2018-08-30,2017,4,CA,14,Unidentified,100,4016,f
427,Palmer Fire,2017-09-02,2018-01-09,2017,33,CA,14,Unidentified,100,3874,t
428,Young Fire,2017-08-07,2018-01-09,2017,47,CA,14,Unidentified,100,3142,f
429,Hawk Fire,2017-07-07,2018-01-09,2017,15,CA,14,Unidentified,100,2940,f
430,Eureka Fire,2017-09-05,2018-01-09,2017,32,CA,14,Unidentified,100,2575,f
431,I-5 Fire,2017-08-24,2018-01-09,2017,16,CA,14,Unidentified,100,2312,f
432,Winters Fire,2017-07-06,2018-01-09,2017,57,CA,14,Unidentified,100,2269,t
433,Sulphur Fire (Mendocino Lake Complex),2017-10-08,2018-02-09,2017,17,CA,14,Unidentified,100,2207,t
434,Gate Fire,2017-05-20,2018-01-09,2017,37,CA,14,Unidentified,100,2056,t
435,Parkfield Fire,2017-07-08,2018-01-09,2017,"27,40",CA,14,Unidentified,100,1816,f
436,Wright Fire,2017-05-12,2018-01-09,2017,24,CA,14,Unidentified,100,1800,f
437,37 Fire,2017-10-09,2018-01-09,2017,49,CA,14,Unidentified,100,1660,f
438,Quail Fire,2017-07-06,2018-01-09,2017,15,CA,14,Unidentified,100,1626,f
439,Hill Fire,2017-06-26,2018-01-09,2017,40,CA,14,Unidentified,100,1598,t
440,Derrick Fire,2017-07-02,2018-01-09,2017,10,CA,14,Unidentified,100,1538,t
441,Holcomb Fire,2017-06-19,2018-01-09,2017,36,CA,14,Unidentified,100,1503,f
442,Oakwood Fire,2017-06-10,2018-01-09,2017,20,CA,14,Unidentified,100,1431,t
443,Garden Fire,2017-07-30,2018-01-09,2017,15,CA,14,Unidentified,100,1350,f
444,Opera Fire,2017-04-30,2018-01-09,2017,33,CA,14,Unidentified,100,1350,f
445,Caldwell Fire,2017-09-01,2018-01-09,2017,15,CA,14,Unidentified,100,1319,f
446,Latrobe Fire,2017-07-26,2018-01-09,2017,34,CA,14,Unidentified,100,1286,f
447,Tarina Fire ,2017-06-30,2018-01-09,2017,15,CA,14,Unidentified,100,1200,f
448,Buffalo Fire,2017-10-17,2018-01-09,2017,37,CA,14,Unidentified,100,1088,f
449,Hudson Fire,2017-07-18,2018-01-09,2017,15,CA,14,Unidentified,100,1083,f
450,Blaine Fire,2017-08-13,2018-01-09,2017,33,CA,14,Unidentified,100,1044,t
451,Mission Fire,2017-09-03,2018-01-09,2017,20,CA,14,Unidentified,100,1035,t
452,Chilcoot Fire,2017-08-06,2018-01-09,2017,32,CA,14,Unidentified,100,1020,f
453,Berry Fire,2017-09-12,2018-01-09,2017,45,CA,14,Unidentified,100,995,t
454,El Dorado Fire,2017-04-28,2018-01-09,2017,10,CA,14,Unidentified,100,976,f
455,Wildomar Fire,2017-10-26,2018-01-09,2017,33,CA,14,Unidentified,100,866,f
456,Poslin Fire,2017-08-06,2018-01-09,2017,18,CA,14,Unidentified,100,859,f
457,Lobo Fire (Wind Complex),2017-10-09,2018-02-09,2017,29,CA,14,Unidentified,100,821,t
458,Yankee Fire,2017-08-11,2018-01-09,2017,40,CA,14,Unidentified,100,775,f
459,Placerita Fire,2017-06-25,2018-01-09,2017,19,CA,14,Unidentified,100,760,f
460,Farad Fire,2017-07-10,2018-01-09,2017,46,CA,14,Unidentified,100,747,f
461,Jacksonville Fire,2017-07-29,2018-01-09,2017,55,CA,14,Unidentified,100,690,t
462,Peak Fire,2017-09-03,2018-01-09,2017,22,CA,14,Unidentified,100,680,t
463,Mart Fire,2017-06-27,2018-01-09,2017,36,CA,14,Unidentified,100,670,f
464,Ben Fire,2017-06-28,2018-01-09,2017,22,CA,14,Unidentified,100,630,t
465,Battle Fire,2017-06-28,2018-01-09,2017,25,CA,14,Unidentified,100,562,f
466,Mias Fire,2017-08-14,2018-01-09,2017,33,CA,14,Unidentified,100,545,t
467,W-2 Fire,2017-08-06,2018-01-09,2017,18,CA,14,Unidentified,100,530,f
468,Ming Fire,2017-05-20,2018-01-09,2017,15,CA,14,Unidentified,100,506,f
469,Deluz Fire,2017-05-19,2018-01-09,2017,37,CA,14,Unidentified,100,486,f
470,Fay Fire,2017-07-05,2018-01-09,2017,47,CA,14,Unidentified,100,469,t
471,Monterey Fire,2017-06-11,2018-01-09,2017,10,CA,14,Unidentified,100,450,f
472,Rucker Fire,2017-09-29,2018-01-09,2017,42,CA,14,Unidentified,100,444,f
473,Eastman Fire,2017-09-18,2018-01-09,2017,20,CA,14,Unidentified,100,429,f
474,Skirball Fire,2017-12-06,2018-01-23,2017,19,CA,14,Unidentified,100,422,t
475,Elephant Fire,2017-07-20,2018-01-09,2017,54,CA,14,Unidentified,100,416,f
476,Dode Fire,2017-07-13,2018-01-09,2017,25,CA,14,Unidentified,100,410,f
477,Jennings Fire,2017-07-11,2018-01-09,2017,37,CA,14,Unidentified,100,400,t
478,Sonoma Fire,2017-05-10,2018-01-09,2017,10,CA,14,Unidentified,100,400,f
479,Pleasant Fire,2017-08-30,2018-01-09,2017,29,CA,14,Unidentified,100,392,t
480,Bear Fire,2017-10-16,2018-01-09,2017,44,CA,14,Unidentified,100,391,t
481,Chris Fire,2017-11-13,2018-01-09,2017,26,CA,14,Unidentified,100,370,f
482,Stone Fire,2017-07-09,2018-01-09,2017,40,CA,14,Unidentified,100,340,t
483,Dinely Fire,2017-06-07,2018-01-09,2017,54,CA,14,Unidentified,100,339,t
484,Rose Fire,2017-08-10,2018-01-09,2017,15,CA,14,Unidentified,100,338,t
485,Bryant Fire,2017-08-03,2018-01-09,2017,36,CA,14,Unidentified,100,325,t
486,Marble Fire,2017-07-19,2018-01-09,2017,8,CA,14,Unidentified,100,319,f
487,Liberty Fire,2017-12-07,2018-01-09,2017,33,CA,14,Unidentified,100,300,f
488,Bravo Fire,2017-05-15,2018-01-09,2017,15,CA,14,Unidentified,100,288,f
489,Little Mountain Fire,2017-12-05,2018-01-09,2017,36,CA,14,Unidentified,100,260,f
490,Lost Fire,2017-07-22,2018-04-12,2017,37,CA,14,Unidentified,100,255,f
491,Huasna Fire,2017-09-20,2018-01-09,2017,40,CA,14,Unidentified,100,245,t
492,Largo Fire,2017-07-30,2018-01-09,2017,9,CA,14,Unidentified,100,236,f
493,Deer Complex,2017-07-08,2018-01-09,2017,7,CA,14,Unidentified,100,231,f
494,Camp Fire,2017-05-18,2018-01-09,2017,40,CA,14,Unidentified,100,225,f
495,Arrow Fire,2017-05-15,2018-01-09,2017,40,CA,14,Unidentified,100,225,f
496,Bodfish Fire,2017-06-10,2018-01-09,2017,15,CA,14,Unidentified,100,206,f
497,Eagle Fire,2017-07-04,2018-01-09,2017,33,CA,14,Unidentified,100,205,f
498,Skeleton Fire,2017-09-12,2018-01-09,2017,17,CA,14,Unidentified,100,200,f
499,Eclipse Fire,2017-08-21,2018-01-09,2017,37,CA,14,Unidentified,100,200,t
500,Wasioja Fire,2017-05-20,2018-01-09,2017,42,CA,14,Unidentified,100,190,f
501,Toll Fire,2017-08-20,2018-01-09,2017,32,CA,14,Unidentified,100,186,f
502,Wild Fire,2017-06-11,2018-01-09,2017,10,CA,14,Unidentified,100,186,f
503,Quarry Fire,2017-10-12,2018-01-09,2017,15,CA,14,Unidentified,100,183,f
504,Laverne Fire,2017-07-18,2018-01-09,2017,45,CA,14,Unidentified,100,180,t
505,High Fire,2017-07-23,2018-01-09,2017,36,CA,14,Unidentified,100,170,t
506,Evans Fire,2017-06-19,2018-01-09,2017,46,CA,14,Unidentified,100,168,f
507,Peg Fire,2017-08-26,2018-01-09,2017,18,CA,14,Unidentified,100,157,f
508,26 Fire,2017-06-07,2018-01-09,2017,20,CA,14,Unidentified,100,157,f
509,Corral Fire,2017-09-19,2018-04-05,2017,1,CA,14,Unidentified,100,155,f
510,Lucy Fire,2017-06-14,2018-01-09,2017,40,CA,14,Unidentified,100,150,f
511,41 Fire,2017-05-17,2018-01-09,2017,20,CA,14,Unidentified,100,150,f
512,Tower Fire,2017-04-30,2018-01-09,2017,36,CA,14,Unidentified,100,150,f
513,Grape Fire,2017-09-19,2018-01-09,2017,23,CA,14,Unidentified,100,146,t
514,Skyway Fire,2017-06-16,2018-01-09,2017,4,CA,14,Unidentified,100,134,f
515,Tumey Fire,2017-04-29,2018-01-09,2017,10,CA,14,Unidentified,100,126,f
516,Coronado Fire,2017-08-13,2018-01-09,2017,22,CA,14,Unidentified,100,125,f
517,Twist Fire,2017-07-30,2018-01-09,2017,55,CA,14,Unidentified,100,124,f
518,Stewart Fire,2017-08-04,2018-01-09,2017,33,CA,14,Unidentified,100,122,f
519,Margarita Fire,2017-09-03,2018-01-09,2017,40,CA,14,Unidentified,100,120,f
520,Lamb Fire,2017-05-25,2018-01-09,2017,33,CA,14,Unidentified,100,120,f
521,Maria Fire,2017-07-17,2018-01-09,2017,5,CA,14,Unidentified,100,117,t
522,Poly Fire,2017-09-26,2018-01-09,2017,40,CA,14,Unidentified,100,105,f
523,Humboldt Fire,2017-07-19,2018-04-12,2017,4,CA,14,Unidentified,100,103,f
524,Coalinga Fire,2017-08-30,2018-01-09,2017,10,CA,14,Unidentified,100,102,f
525,Lariat Fire,2017-07-11,2018-01-09,2017,43,CA,14,Unidentified,100,101,f
526,Church Fire,2017-10-21,2018-01-09,2017,37,CA,14,Unidentified,100,100,f
527,Oakmont Fire (Central LNU Complex),2017-10-14,2018-04-05,2017,49,CA,14,Unidentified,100,100,t
528,Long Fire,2017-10-14,2018-01-09,2017,17,CA,14,Unidentified,100,100,f
529,Timm Fire,2017-10-02,2018-01-09,2017,48,CA,14,Unidentified,100,100,f
530,Bally Fire,2017-09-03,2018-01-09,2017,43,CA,14,Unidentified,100,100,f
531,Tilton Fire,2017-08-11,2018-01-09,2017,43,CA,14,Unidentified,100,100,f
532,Mile Fire,2017-07-31,2018-01-09,2017,36,CA,14,Unidentified,100,100,f
533,Auberry Fire,2017-07-05,2018-01-09,2017,10,CA,14,Unidentified,100,91,t
534,Wilbur Fire,2017-06-06,2018-01-09,2017,4,CA,14,Unidentified,100,91,f
535,Daulton Fire,2017-07-07,2018-01-09,2017,20,CA,14,Unidentified,100,90,f
536,Ridge Fire,2017-10-06,2018-01-09,2017,17,CA,14,Unidentified,100,87,t
537,Vista Fire,2017-10-24,2018-01-09,2017,56,CA,14,Unidentified,100,86,f
538,Saw Fire,2017-08-03,2018-01-09,2017,12,CA,14,Unidentified,100,85,f
539,Dollar Fire,2017-07-22,2018-01-09,2017,36,CA,14,Unidentified,100,85,f
540,Country Fire,2017-08-07,2018-01-09,2017,27,CA,14,Unidentified,100,82,f
541,Holiday Fire,2017-12-28,2018-01-09,2017,9,CA,14,Unidentified,100,80,f
542,Mills File,2017-09-03,2018-01-09,2017,32,CA,14,Unidentified,100,79,f
543,Fountain Fire ,2017-05-31,2018-01-09,2017,54,CA,14,Unidentified,100,79,f
544,Castro Fire,2017-07-23,2018-01-09,2017,43,CA,14,Unidentified,100,78,f
545,Spring Fire ,2017-06-04,2018-01-09,2017,52,CA,14,Unidentified,100,78,f
546,McCourtney Fire (Wind Complex),2017-10-09,2018-02-09,2017,29,CA,14,Unidentified,100,76,t
547,Tivy Fire,2017-06-11,2018-01-09,2017,10,CA,14,Unidentified,100,76,f
548,Linne Fire,2017-09-26,2018-01-09,2017,40,CA,14,Unidentified,100,74,f
549,Axel Fire,2017-07-08,2018-01-09,2017,9,CA,14,Unidentified,100,74,t
550,Lynch Fire,2017-10-13,2018-01-09,2017,40,CA,14,Unidentified,100,73,f
551,Ellis Fire,2017-07-18,2018-01-09,2017,33,CA,14,Unidentified,100,72,f
552,Camatta Fire,2017-08-02,2018-01-09,2017,40,CA,14,Unidentified,100,70,f
553,Felipe Fire,2017-07-10,2018-01-09,2017,43,CA,14,Unidentified,100,70,f
554,Manning Fire,2017-05-19,2018-01-09,2017,10,CA,14,Unidentified,100,70,f
555,Orange Fire,2017-06-21,2018-01-09,2017,50,CA,14,Unidentified,100,65,f
556,Placentia Fire,2017-07-28,2018-01-09,2017,33,CA,14,Unidentified,100,63,f
557,Westfall Fire,2017-06-15,2018-01-09,2017,22,CA,14,Unidentified,100,63,f
558,Montezuma Fire,2017-08-26,2018-01-09,2017,37,CA,14,Unidentified,100,62,f
559,Bottle Fire,2017-08-08,2018-01-09,2017,17,CA,14,Unidentified,100,62,t
560,Bolla Fire,2017-06-18,2018-01-09,2017,52,CA,14,Unidentified,100,60,f
561,Slides Fire,2017-09-12,2018-01-09,2017,17,CA,14,Unidentified,100,58,f
562,Hogback Fire,2017-07-18,2018-01-09,2017,54,CA,14,Unidentified,100,58,f
563,Live Fire,2017-07-28,2018-01-09,2017,52,CA,14,Unidentified,100,57,f
564,Freedom Fire,2017-07-04,2018-01-09,2017,10,CA,14,Unidentified,100,57,f
565,Bogus Fire,2017-06-18,2018-01-09,2017,47,CA,14,Unidentified,100,56,f
566,Estate Fire,2017-09-23,2018-01-09,2017,48,CA,14,Unidentified,100,55,t
567,Owens Fire,2017-08-29,2018-01-09,2017,47,CA,14,Unidentified,100,55,f
568,Topanga Fire,2017-06-29,2018-01-09,2017,19,CA,14,Unidentified,100,55,f
569,Quimby Fire,2017-06-21,2018-01-09,2017,43,CA,14,Unidentified,100,54,f
570,Weller Fire,2017-07-26,2018-01-09,2017,43,CA,14,Unidentified,100,51,f
571,Tank Fire,2017-10-26,2018-01-09,2017,15,CA,14,Unidentified,100,50,f
572,Extension Fire,2017-10-23,2018-01-09,2017,33,CA,14,Unidentified,100,50,f
573,Wilson Fire,2017-10-17,2018-01-09,2017,19,CA,14,Unidentified,100,50,f
574,Skeggs Fire,2017-09-11,2018-01-09,2017,41,CA,14,Unidentified,100,50,t
575,Calgary Fire,2017-08-05,2018-01-09,2017,15,CA,14,Unidentified,100,50,f
576,Lago Fire,2017-07-03,2018-01-09,2017,33,CA,14,Unidentified,100,50,f
577,Douglas Fire,2017-06-13,2018-01-09,2017,37,CA,14,Unidentified,100,50,f
578,Serenas Fire,2017-05-28,2018-01-09,2017,33,CA,14,Unidentified,100,48,f
579,Bitterwater Fire,2017-11-25,2018-01-09,2017,35,CA,14,Unidentified,100,47,f
580,Zenon Fire,2017-07-20,2018-01-09,2017,40,CA,14,Unidentified,100,47,f
581,Whitepine Fire,2017-06-06,2018-01-09,2017,47,CA,14,Unidentified,100,46,t
582,Riverbottom Fire,2017-12-21,2018-01-09,2017,33,CA,14,Unidentified,100,45,f
583,Pozo Fire,2017-10-09,2018-01-09,2017,40,CA,14,Unidentified,100,45,f
584,Grace Fire,2017-04-03,2018-01-09,2017,45,CA,14,Unidentified,100,45,f
585,Mines Fire,2017-08-27,2018-01-09,2017,1,CA,14,Unidentified,100,44,f
586,Roser Fire,2017-11-02,2018-01-09,2017,52,CA,14,Unidentified,100,43,f
587,Lockwood Fire,2017-06-29,2018-01-09,2017,27,CA,14,Unidentified,100,42,f
588,Jones Fire,2017-06-03,2018-01-09,2017,25,CA,14,Unidentified,100,42,f
589,Stokes Fire,2017-06-29,2018-01-09,2017,19,CA,14,Unidentified,100,41,f
590,Feed Fire,2017-05-14,2018-01-09,2017,15,CA,14,Unidentified,100,41,f
591,Riverdale Fire,2017-12-04,2018-01-09,2017,33,CA,14,Unidentified,100,40,f
592,Palm Fire,2017-11-14,2018-01-09,2017,33,CA,14,Unidentified,100,40,f
593,Freeway Fire,2017-10-24,2018-01-09,2017,36,CA,14,Unidentified,100,40,f
594,Lakewood Fire,2017-09-29,2018-01-09,2017,15,CA,14,Unidentified,100,40,f
595,Hole Fire,2017-09-12,2018-01-09,2017,8,CA,14,Unidentified,100,40,f
