id,fire_name,total_acres_burned,county_id,injuries,structure_impacted
750,Santa Cruz Fire,258,42,0,0
751,Rangeland Fire,250,37,0,0
752,Steamboat Fire,224,47,0,0
753,Petersburg Fire,215,47,0,0
754,Ribbon Fire,205,33,0,0
755,Par Fire,191,4,0,0
756,Aliso Fire,175,30,0,0
757,Ogilvy Fire,172,42,0,0
758,Priest Fire,167,27,0,0
759,Roxie Fire (Formerly 1-1 Fire),167,18,1,0
760,Gorge Fire,155,45,0,0
761,Santiago Fire,155,30,0,0
762,Euclid Fire,154,33,0,0
763,Irving Fire,152,21,0,0
764,Sliger Fire,150,9,0,0
765,Parrots Fire,136,5,0,0
766,Steele Fire,135,28,0,12
767,Pico Fire,128,19,0,0
768,Open Fire,127,11,0,0
769,Shastina Fire,127,47,0,0
770,Sterling,125,36,0,0
771,Market Fire,120,54,0,0
772,Idria Fire,116,35,0,0
773,Bridle Fire,116,43,0,0
774,Windmill Fire,110,42,0,0
775,Cobble Fire,108,10,0,0
776,Western Fire,106,23,0,0
777,Cache Fire,103,17,0,0
778,Jelly Fire,103,52,0,0
779,Balch Fire,100,54,0,0
780,Box Fire,100,36,0,0
781,Sam Fire,96,27,0,0
782,Sheep Fire,95,15,0,0
783,Peach Fire ,90,23,0,0
784,3-16 Fire,89,18,0,0
785,Horn Fire,88,18,0,0
786,Redinger Fire,88,20,0,0
787,Plaza Fire,88,24,0,0
788,Spring 2 Fire,80,17,0,1
789,Cruces Fire,77,42,0,0
790,Anchor Fire,76,10,0,0
791,Stony Fire,75,6,0,0
792,Main Fire,73,33,0,0
793,Tornado Fire,70,33,0,0
794,Romero Fire,68,24,0,0
795,Bumper Fire,67,9,0,0
796,Heart Fire,67,23,0,0
797,Omega Fire,66,9,0,4
798,Benton Fire,63,33,0,0
799,Stuhr Fire,63,50,0,0
800,Lebec Fire,62,15,0,0
801,Adams Fire,60,52,0,0
802,Raymond Fire,60,20,0,0
803,Creston FIre,60,40,0,0
804,Happy Fire,60,42,0,0
805,Agua Fire,59,37,0,0
806,Camino Fire,58,40,0,0
807,3-10 Fire,56,18,0,0
808,Bruce Fire,56,7,0,0
809,Experimental Fire,56,20,0,0
810,Keenbrook Fire,53,36,0,0
811,Copper Fire,53,18,0,0
812,Boyer Fire,53,22,0,1
813,Kelley Fire,52,25,0,0
814,Crestline Fire,51,45,0,0
815,Hale Fire,51,43,0,0
816,Carder Fire,50,17,0,1
817,Tuscan Fire,50,52,0,0
818,Haycamp Fire,50,27,0,0
819,Buckingham Fire,45,7,0,0
820,Simmons Fire,43,4,2,0
821,Martinez Fire,40,33,0,0
822,Iron Fire,40,7,0,0
823,Masonic Fire,38,45,0,0
824,Adobe Fire,38,37,0,0
825,Mustang Fire,37,40,0,0
826,Martin Fire,37,47,0,0
827,Winchester Fire,36,33,0,0
828,Brushy Fire,35,23,0,0
829,Terra Fire,35,33,0,0
830,Marcel Fire,34,15,0,0
831,Horse Creek Fire,34,54,0,0
832,Nimshew Fire,33,4,0,0
833,3-18 Fire,32,18,0,0
834,Alhambra Fire,30,7,0,0
835,Sobrante Fire,30,33,0,0
836,Aqueduct Fire,30,10,0,0
837,Ager Fire,27,47,0,0
838,Soboba Fire,25,33,0,0
839,Vineyard Fire,25,40,0,0
840,Kelsey Fire,24,17,0,0
841,Land Fire,23,33,0,0
842,Glen Fire,23,7,0,0
843,Plymire Fire,23,52,0,0
844,Wagner Fire,22,22,0,7
845,Niles Fire,20,1,0,0
846,Vallecitos Fire,20,1,0,0
847,Portola Fire ,20,19,0,0
848,Jacques Fire,18,37,0,0
849,Ethanac Fire,17,33,0,0
850,Johnson Fire,16,12,0,0
851,Keeler Fire,16,43,0,0
852,Iron Gate Fire,15,47,0,0
853,Essex Fire,15,25,0,0
854,Woodchuck Fire,15,33,0,0
855,Casner Fire,14,37,0,0
856,3-2 Fire,14,18,0,0
857,Madison FIre,14,57,0,0
858,Ranchera Fire,13,45,0,0
859,Cinnamon Fire,13,37,0,1
860,Coldwell Fire,13,10,0,0
861,Gray Fire,12,36,0,0
862,School Fire,12,20,0,0
863,Meamber Fire,12,47,0,0
864,Resort Fire,12,40,0,0
865,Bellagio Fire,12,28,0,0
866,Volcan Fire,12,37,0,0
867,Dark Fire,11,4,0,0
868,Cornerstone Fire,11,20,0,0
869,Grande Fire,11,33,0,0
870,Bear Fire ,10,44,0,0
871,Green Hill Fire,10,12,0,0
872,Powellton Fire,10,4,0,0
873,Keller Fire,10,33,0,0
874,Syar Fire,10,28,0,0
875,Lott Fire,10,47,0,0
876,Building Fire,10,37,0,0
877,Llano Fire,10,4,0,0
878,Ranchita Fire,10,27,0,0
879,Pallet Fire,10,49,0,0
880,Jardin Fire,10,33,0,0
881,70th Fire,10,33,0,0
882,Honey Flooding,0,4,0,0
883,Easy Fire,1806,56,0,0
884,Rawson Fire,605,52,0,0
885,Hill Fire ,494,33,0,0
886,Cross Fire,289,"27,40",0,0
887,Mud Fire ,137,10,0,0
888,Wolf Fire,75,33,0,0
889,Merrill Fire,40,7,0,0
890,Rains Fire,35,50,0,0
891,Whiskey Fire,27,5,0,0
892,La Barisa Fire,26,36,0,0
893,Chaparral Fire,22,9,0,0
894,Mid Fire,22,1,0,0
895,Kincade Fire,77758,49,4,434
896,Tucker Fire,14217,25,0,0
897,Taboose Fire,10296,14,0,0
898,Maria Fire ,9999,56,0,4
899,Red Bank Fire,8838,52,0,2
900,Saddle Ridge Fire,8799,19,8,107
901,R-1 Fire,3380,18,0,0
902,Cave Fire (No Longer a CAL FIRE Incident),3126,42,0,0
903,Long Valley Fire ,2438,18,0,0
904,Tenaja,1926,33,3,2
905,McMillan Fire,1764,40,0,0
906,Border 8 Fire,1507,62,0,0
907,West Butte Fire,1350,51,0,0
908,Boulder Fire,1127,40,0,0
909,W1 McDonald Fire,1020,18,0,0
910,Gillis Fire,974,40,0,0
911,Belmont Fire,835,40,0,0
912,Marsh Complex,757,7,0,0
913,Getty Fire ,745,19,0,0
914,Burris Fire,703,23,0,0
915,Jerry Fire,525,33,0,0
916,Caliente Fire,448,37,0,0
917,Real Fire,420,42,0,0
918,Reche Fire,350,33,0,2
919,46 Fire,328,33,0,0
920,Hwy Fire,300,4,0,0
921,Hollow Fire,283,39,0,0
922,Rams Horn Fire,280,53,0,0
923,Snail Fire,279,56,0,0
924,Snowstorm Fire,263,18,0,0
925,R-6 Fire,260,18,0,0
926,Citrus Fire,257,54,0,0
927,Sycamore Fire,250,33,0,0
928,Henthorne Fire,244,53,0,0
929,Kidder 2 Fire,227,47,0,0
930,Moose Fire,225,23,3,0
931,Lopez Fire,220,40,4,24
932,Wolf Fire ,214,33,0,0
933,Madera Fire ,213,20,0,0
934,Merced Fire ,210,24,0,0
935,Malech Fire,210,43,0,0
936,Lumgrey Fire,207,47,0,0
937,Milton Fire ,202,50,0,0
938,Hillside Fire,200,36,0,0
939,Cypress Complex,200,7,0,0
940,Olivas Fire,200,56,0,0
941,McMurray Fire,200,42,0,0
942,Doyle Fire,193,18,0,0
943,Sargent Fire,190,27,0,0
944,Vulcan Fire,172,15,0,0
945,Bautista Fire,167,33,0,0
946,Cottage Fire,156,45,0,0
947,Spruce Fire,155,54,0,0
948,Sky Fire ,150,7,0,0
949,Dyer Fire,148,31,0,0
950,Glencove Fire ,140,48,0,0
951,South Fire ,131,56,0,0
952,Shady Fire,130,33,0,0
953,Goose 2 Fire,128,25,0,0
954,Weisgarber Fire,120,37,0,0
955,Bitter Fire ,120,40,0,0
956,Woody Fire,115,15,0,0
957,Meadow Fire (Not a CAL FIRE incident),103,25,0,0
958,Kennedy Fire,98,33,0,0
959,Sawday Fire ,97,37,0,0
960,Orange fire,96,33,0,0
961,Toro Fire ,94,33,0,0
962,Trinity Fire,90,45,0,0
963,Timm Fire ,81,48,0,0
964,Nelson Fire ,80,4,0,0
965,Ivy Fire,80,33,0,0
966,Levee Fire,70,58,0,0
967,Corning Fire ,68,52,0,0
968,Jolon Fire,66,27,0,0
969,Sugar Fire,65,31,0,0
970,Cabrillo Fire,62,41,0,0
971,Forbestown Fire,58,4,0,0
972,Forest Fire,50,7,0,0
973,Prairie Fire ,50,34,0,0
974,Ink Fire,50,28,0,0
975,Aborn Fire,47,43,0,0
976,Lower Fire,46,45,0,0
977,Diversion Fire,45,33,0,0
978,Flood Fire ,44,39,0,0
979,Ardo Fire,43,27,0,0
980,Palisades Fire,42,19,0,0
981,Plains Fire,42,45,0,0
982,Calaveras Fire ,35,43,0,0
983,Yucca Fire,34,33,0,0
984,Heavy Range Fire,33,57,0,0
985,Yokohl Fire,33,54,0,0
986,Bitter Fire,30,40,0,0
987,Point Fire ,29,43,0,0
988,Glass Fire,28,17,0,0
989,Watt Fire,27,31,0,0
990,Border 10 Fire,25,"62,37",0,0
991,Bikeway Fire,25,1,0,0
992,Fellow Fire,24,7,0,0
993,Preston Fire,21,55,0,0
994,Radio Fire,20,33,0,0
995,Golf Fire,20,17,0,0
996,Gibbel Fire ,20,33,0,0
997,Sobrante Fire ,19,33,0,0
998,Warren Fire,19,33,0,0
999,Carroll Fire,19,1,0,0
1000,Del Fire,18,50,0,0
1001,Foster Fire ,17,35,0,0
1002,Greenstone Fire ,16,9,0,0
1003,Duzel Fire,15,47,0,0
1004,Telephone Fire,15,36,0,0
1005,Pauma Fire,15,37,0,0
1006,Carson Fire,13,9,0,0
1007,Mayberry Fire ,12,4,0,0
1008,Beaumont Fire,11,36,0,0
1009,Dales Fire,11,52,0,0
1010,Fairmont Fire,10,37,0,0
1011,Inghram Fire,10,52,0,1
1012,Electra Fire,10,3,1,0
1013,IronGate Fire,10,47,0,0
1014,Cana Fire,10,4,0,0
1015,Springs Fire,24251,56,10,16
1016,Pfeiffer Fire,917,27,0,0
1017,Jurupa Fire,311,33,0,0
1018,Becks Fire,296,17,0,0
1019,Daves Fire,226,11,0,0
1020,Tassajara Fire,213,27,0,0
1021,Highland Fire,150,1,0,0
1022,Neal Fire,150,4,0,0
1023,Bee Fire,100,19,0,0
1024,Butte Fire,80,10,0,0
1025,Tehama Fire,75,52,0,0
1026,Cedar Fire,72,4,0,0
1027,Happy Camp Fire,44,56,0,0
1028,Valley Fire,40,37,0,0
1029,Trout Fire,40,47,0,0
1030,Honey Fire,34,45,0,0
1031,Refuse Fire,15,23,0,0
1032,Ranger Fire,15,20,0,0
1033,July Complex,50042,47,0,0
1034,Beaver Fire,32496,47,0,0
1035,Pulgas Fire,14416,37,0,0
1036,French Fire,13838,20,0,0
1037,Lodge Lightning Complex,12536,23,15,0
1038,Stoney Fire,4840,27,0,0
1039,Meadow Fire,4772,22,0,0
1040,El Portal Fire,4689,22,0,0
1041,Dark Hole Fire,1080,22,0,0
1042,Hunters Fire,677,22,9,3
1043,Applegate Fire,459,31,2,10
1044,Black Fire,403,23,3,11
1045,Web Fire,389,4,4,0
1046,Bridge Fire,300,22,3,0
1047,Gun Club Fire,300,24,0,0
1048,Curie Fire,125,43,0,0
1049,Brewer Fire,120,31,0,0
1050,Saratoga Fire,100,17,0,0
1051,Interstate Fire,100,33,0,0
1052,Casa Fire,80,43,0,0
1053,Montgomery Fire,79,22,0,0
1054,Sabina Fire,78,33,0,0
1055,Ranch Fire,70,15,0,0
1056,June Fire,65,14,0,0
1057,Nelson Fire,62,23,0,0
1058,Honcut Fire,60,4,0,0
1059,Freeway Fire ,56,37,0,0
1060,McClellan Fire,37,12,0,0
1061,Bogart Fire,31,33,0,0
1062,Siskiyou County Lightning Fires,30,47,0,0
1063,Foothill Fire ,25,56,0,0
1064,Iowa Fire,14,31,0,0
1065,Santa Fire,14,33,0,0
1066,South Napa Earthquake,6,28,0,0
1067,River Complex,77081,53,0,0
1068,Fork Complex,36503,53,0,0
1069,Gasquet Complex,30361,8,0,0
1070,South Complex,29416,53,0,0
1071,Nickowitz Fire,7509,8,0,0
1072,Round Fire,7000,"14,26",4,45
1073,Humboldt Lightning Fires,4883,12,14,7
1074,Walker Fire,3676,26,0,0
1075,Horno Fire,1850,37,0,0
1076,Park Hill Fire,1791,40,4,23
1077,Meridian Fire,860,4,0,0
1078,Van Dyke Fire,509,26,0,0
1079,Sky Fire,500,20,0,0
1080,Tenaya Fire,415,22,0,0
1081,Lincoln Fire,374,19,0,0
1082,Ione Fire,355,3,0,0
1083,Warm Fire,300,19,0,0
1084,Site Fire,300,1,0,0
1085,Chorro Fire,282,56,0,0
1086,Christensen Fire,242,1,0,0
1087,Mendocino National Forest Lightning Complex,227,23,0,0
1088,Pacheco Fire,215,43,0,0
1089,Mesa Fire,211,42,0,0
1090,Rustic Fire,186,56,0,0
1091,Flat Fire ,167,15,0,0
1092,Merwin Fire,150,33,0,0
1093,Collier Fire,122,39,0,0
1094,Shinn Fire,111,18,0,0
1095,Apple Fire,110,34,0,0
1096,Riosa Fire,110,31,0,0
1097,Harrison Fire,80,33,0,0
1098,Webb Fire,75,4,0,0
1099,Prairie Fire,69,47,0,0
1100,Scales Fire,65,36,0,0
1101,Kerkhoff Fire,60,10,0,0
1102,Grapefruit Fire,60,33,0,0
1103,Triangle Fire,60,22,0,0
1104,Military Fire,58,47,0,0
1105,Antelope Fire,45,15,0,0
1106,Geary Fire,45,1,0,0
1107,FKU Lightning Fires,45,10,0,0
1108,Mason Fire ,43,25,0,0
1109,Garage Fire,36,28,0,0
1110,Banister Fire,29,56,0,0
1111,Buckaroo Fire,25,9,0,0
1112,Fox Fire,25,22,0,0
1113,Oasis Fire,25,17,0,0
1114,Snow Fire,25,33,0,0
1115,Mad River Complex,0,53,0,0
1116,Rey Fire ,32606,42,0,0
1117,San Gabriel Complex (Formerly Fish & Reservoir Fires),5399,19,0,0
1118,Roberts Fire,3712,40,0,0
1119,Clark Fire,2819,26,0,0
1120,Flat Fire,306,15,0,0
1121,King Fire ,237,35,0,2
1122,Briggs Fire,173,33,0,0
1123,Hills Fire,151,10,0,0
1124,Maze Fire,140,50,0,0
1125,Rock Creek Fire,122,26,0,0
1126,Bailey Fire,100,43,0,0
1127,Cheyenne Fire,83,5,1,3
1128,Serpa Fire,80,20,0,0
1129,Mill Fire,56,47,0,0
1130,Casitas Fire,50,56,0,0
1131,Dockery Fire,42,18,0,0
1132,Evergreen Fire,40,33,0,0
1133,Alder Fire,25,9,0,0
1134,North Branch Extension Fire,25,17,0,0
1135,Edison Fire,20,56,0,0
1136,Modoc July Complex,83120,25,0,0
1137,Schaeffer Fire,16031,54,0,0
1138,Adobe Fire (Central LNU Complex),1868,49,0,0
1139,Platina Fire,21,45,0,0
1140,Dehesa Fire,12,37,0,0
1141,Cranston Fire,13139,33,0,12
1142,Branscombe Fire,4500,48,0,0
1143,Twisselman Fire,293,15,0,0
1144,Wilcox Fire,33,54,0,0
1145,Montecito Flooding / Mudflows,0,"42,56",0,0
1146,Girasol Fire,30,33,0,0
